,paragraph,length
0,中国货币政策执行报告二○一二年第三季度中国人民银行货币政策分析小组2012年11月2日内容摘要2012年第三季度，中国经济增长呈缓中趋稳态势并继续出现积极变化。消费需求稳定，固定资产投资平稳较快增长，出口增速有所回升。农业生产形势良好，工业生产增速趋稳。物价涨幅继续回落，就业形势基本稳定。前三个季度，实现国内生产总值（GDP）35.3万亿元，同比增长7.7%；居民消费价格同比上涨2.8%。,196.0
1,中国人民银行按照国务院统一部署，继续实施稳健的货币政策，着力增强政策的前瞻性、针对性和灵活性，适时适度进行预调微调。再次下调存贷款基准利率并扩大贷款利率浮动区间。根据流动性供给格局的变化，连续开展逆回购操作，满足银行体系合理的流动性需求，引导市场利率平稳运行。引导金融机构继续优化信贷结构。继续稳步推进金融企业改革，进一步增强人民币汇率浮动弹性。,173.0
2,货币信贷和社会融资增长较快，贷款结构继续改善。2012年9月末，广义货币供应量M2余额为94.4万亿元，同比增长14.8%。人民币贷款余额同比增长16.3%，比年初增加6.72万亿元，同比多增1.04万亿元。前三个季度社会融资规模为11.73万亿元。金融机构贷款利率继续下行，9月份非金融企业及其他部门贷款加权平均利率为6.97%，比６月份下降0.09个百分点。,181.0
3,９月末，人民币对美元汇率中间价为6.3410，比6月末贬值0.25%，人民币实际有效汇率贬值0.99%。当前，支撑中国经济平稳较快发展的基本面并未发生根本性变化，经济有望继续保持平稳较快增长。中国仍处于城镇化、信息化、工业化和农业现代化进程中，经济结构正在朝着预期的方向转变。也要看到，中国经济发展面临的国内外环境依然复杂，外需受到国际金融危机的持续影响尽显疲弱，国内内生增长动力还需增强。在结构性及周期性等多重因素的共同作用下，经济增长受到一定影响，经济结构调整和转变发展方式的任务更加紧迫。,247.0
4,需根据经济运行规律和结构性变化把握好宏观调控工作，同时继续加快结构调整和改革步伐，整合和优化资源配置，更好地释放长期增长的潜力。下一阶段，中国人民银行将继续落实党中央、国务院各项部署，坚持科学发展主题和加快转变经济发展方式主线，坚持“稳中求进”的工作总基调，正确处理保持经济平稳较快发展、调整经济结构和管理通胀预期三者的关系，把稳增长放在更加重要的位置。继续实施稳健的货币政策，增强调控的前瞻性、针对性和灵活性，加强预调微调，把握好经济增长、物价稳定和风险防范三者的平衡，重在保持货币环境的稳定，为市场经济自身的调整和稳定机制发挥作用创造条件。综合运用多种货币政策工具组合，健全宏观审慎政策框架，保持合理的市场流动性，引导货币信贷和社会融资规模平稳合理增长。进一步提高货币政策的有效性，着力优化信贷资源配置，缓解信贷资金供求结构性矛盾，切实强化金融服务实体经济的功能。,384.0
5,稳步推进利率市场化改革，引导金融机构用好利率浮动定价权合理定价。进一步完善人民币汇率形成机制，增强人民币汇率双向浮动弹性。推动金融市场规范发展，继续发挥直接融资的作用，更好地满足多样化的融资需求。深化金融机构改革，有效防范系统性金融风险，保持金融体系稳定。第一部分货币信贷概况2012年第三季度，国民经济运行总体平稳，银行体系流动性充裕，货币信贷和社会融资增长较快，贷款结构继续改善。,192.0
6,一、货币供应量增长较快2012年9月末，广义货币供应量M2余额为94.4万亿元，同比增长14.8%，增速比6月末高1.2个百分点。狭义货币供应量M1余额为28.7万亿元，同比增长7.3%，增速比6月末高2.6个百分点。流通中货币M0余额为5.3万亿元，同比增长13.3%，增速比6月末高2.5个百分点。前三个季度现金净投放2684亿元，同比多投放127亿元。在公开市场操作、存款准备金率、再贷款再贴现、利率和逆周期宏观审慎管理等多项政策工具的综合作用下，货币供应量增速明显回升。,239.0
7,9月末，M2增速创2011年下半年以来新高，M1增速则创2012年新高，其中，M2、M1增速分别较上月末明显提升1.3个和2.8个百分点。货币条件总体相对宽松，有利于支持国民经济平稳较快发展。9月末，基础货币余额为23.6万亿元，同比增长11.2%，比年初增加1.14万亿元。9月末，货币乘数为4.00，比上年同期高0.29，货币扩张能力较强。银行体系流动性合理充裕。,184.0
8,"9月末，金融机构超额准备金率为2.1%，比上年同期高0.7个百分点；其中，农村信用社为3.8%，比上年同期高0.4个百分点。二、金融机构存款波动较大9月末，全部金融机构（含外资金融机构，下同）本外币各项存款余额为92.6万亿元，同比增长14.3%，增速比6月末高1.1个百分点,比年初增加9.9万亿元，同比多增1.7万亿元。人民币各项存款余额为90.0万亿元，同比增长13.3%，增速比6月末高1.0个百分点，比年初增加9.0万亿元，同比多增9243亿元。受业绩考核、信息披露等因素影响，存款持续出现季末大幅冲高、季初明显回落现象，3月份、6月份和9月份新增存款分别达到3.0万亿元、2.9万亿元和1.7万亿元，而2012年以来季初存款则均为下降态势，1月份、4月份和7月份分别减少8000亿元、4656亿元和5006亿元。外币存款余额为4138亿美元，同比增长61.9%，比年初增加1388亿美元，同比多增1088亿美元。",412.0
9,从人民币存款部门分布看，住户存款增速逐步提升，非金融企业存款稳步增长。9月末，金融机构住户存款余额为39.8万亿元，同比增长18.1%，增速比6月末和3月末分别高0.9个和2.0个百分点，比年初增加4.9万亿元，同比多增1.3万亿元。非金融企业人民币存款余额为31.4万亿元，同比增长7.9%，增速比6月末和3月末分别高2.2个和1.7个百分点，比年初增加1.4万亿元，同比多增955亿元。9月末，财政存款余额为3.3万亿元，比年初增加6296亿元，同比少增5341亿元。三、金融机构贷款增长加快9月末，全部金融机构本外币贷款余额为65.5万亿元，同比增长16.4%，增速比6月末高0.5个百分点，比年初增加7.3万亿元，同比多增1.3万亿元。,322.0
