,paragraph,length
0,中国金融稳定报告2018中国人民银行金融稳定分析小组综述2017年以来特别是进入2018年，世界政治经济格局发生深度调整变化。外部不确定性的增加，使得中国经济金融体系面临的外部环境日趋复杂。即便如此，在世界主要经济体中，中国经济仍然保持了较高增长水平，而且随着防范化解重大风险、精准脱贫、污染防治三大攻坚战的展开，经济增长质量持续改进，供给侧结构性改革在复杂多变的环境中持续向前推进，中国金融体系弹性增强，金融运行总体稳定。2017年中国实现GDP同比增长6.9%，比国际货币基金组织统计的2017年全球经济增长高出3.1个百分点，也高于多数新兴市场经济体同期的经济增速；就业形势基本稳定，全年新增就业超过1100万人；通货膨胀总体温和，2017年CPI同比上涨1.6%，涨幅比上年回落0.4个百分点；国际收支总体平衡，2017年经常账户顺差1720亿美元、储备资产增加915亿美元。2018年上半年，中国经济实现6.8％的增长，CPI同比上涨2.0％，城镇调查失业率稳定在5%左右。,442.0
1,总体看，2017年及2018年上半年宏观经济金融数据符合市场预期。过去一年来中国经济金融发展、改革，以及重大风险处置化解，不仅释放了金融风险，增强了金融体系的稳定性，为未来五年甚至更长一段时期中国经济的成功转型和健康发展打基础，赢得主动性，也为全球经济增长和持续复苏作出了重要贡献。同时，我们也清楚地认识到，当前和今后一段时期，影响和威胁全球金融稳定的风险因素也在增加，特别是全球贸易保护主义抬头，由美国挑起的经贸摩擦，对全球及中国宏观经济和金融市场构成负面影响。同时，美国等主要发达经济体货币政策调整也可能引发全球流动性收紧，并对新兴市场国家形成外溢效应。国内方面，中国经济金融体系中多年累积的周期性、体制机制性矛盾和风险正在水落石出，经济运行中结构性矛盾仍较突出，调整体制机制性因素需要一个过程，化解潜在的风险隐患需要付出一定的成本，甚至经历一定阵痛，任务依然艰巨。,385.0
2,我们认为，在推进供给侧结构性改革和防范化解重大风险的过程中，随着金融监管的加强，一些周期性的风险事件逐渐暴露，金融市场乃至宏观经济将感到“阵痛”，是可以预期、也应当接受的情景。我们欣喜地看到，2017年全国金融工作会议召开，关于未来一段时期金融改革发展和维护金融稳定的大政方针和顶层架构已经确立，2017年底国务院金融稳定发展委员会成立，2018年“两会”后又进一步强化和完善，监管体制也做了调整。在新的架构下，金融监管协调机制切实加强，货币政策、财政政策、监管政策、产业政策之间的协调机制更加有效，以中央银行为核心的宏观审慎管理理念和框架逐步确立，系统性风险防范机制进一步强化。同时，审慎管理的基本制度逐步改进，以治理影子银行为导向出台资产管理新规，以治理金融控股集团野蛮成长为导向出台非金融企业投资金融机构监管指导意见，启动金融控股公司模拟监管，加快制定金融控股公司监管办法，补齐监管制度短板；持续开展互联网金融风险专项整治；建立金融市场外部冲击风险应对机制，保持股市、汇市、债市、房市的基本稳定，保持人民币汇率在合理均衡水平上的基本稳定；金融改革开放加快推进。,483.0
3,此外，系统性风险监测评估不断加强，央行金融机构评级体系初步建立，跨境融资和资本流动宏观审慎政策不断完善。2017年以来，一系列措施收到了显著成效，宏观杠杆率过快上升势头得到遏制，金融风险总体收敛，金融乱象得到初步治理，资管业务逐步回归代客理财本源，债券市场刚性兑付有序打破，市场约束显著增强，金融机构合规意识、投资者风险意识显著提升。总体看，我国经济金融风险可控，不会发生系统性风险。我们也看到，在推动防范化解风险的各项政策时，金融管理部门也十分注意把握好政策节奏和力度，加强预期引导。2018年以来，面对经济金融领域的新情况、新变化，特别是中美贸易摩擦等不确定性增加，加强政策预调、微调，实施稳健中性货币政策，保持流动性合理充裕，调整宏观审慎评估参数，支持银行表外融资回表，保持社会融资规模合理增长。,351.0
4,展望2019年，全球经济和金融市场仍存在较大不确定性，中国经济在由高速增长向高质量增长的转型与结构调整过程中，一些“灰犀牛”性质的金融风险可能仍将释放，但中国经济体量大、市场大、韧性强等基本态势没有变，中国坚持市场化方向、坚持改革开放的基本政策取向没有变，也不会变。,133.0
5,针对经济运行中的边际变化，要努力实现稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期，坚决抓好落实，处理好稳增长、调结构、防风险的关系。可以预期的是，2019年中国宏观经济金融政策的前瞻性、灵活性进一步提高，协调性、有效性进一步增强，中国金融改革的深度广度将会进一步拓展，对外开放的步伐只会加快不会放缓。随着三大攻坚战特别是防范化解重大风险攻坚战在“稳定大局、统筹协调、分类施策、精准拆弹”基本政策指导下持续推进，体制机制性风险将会逐步得到平稳治理和化解，中国宏观经济和金融体系的稳健性将会进一步提高，金融稳定运行的基础将会更加稳固，金融服务实体经济的能力和风险抵御防范能力也将进一步增强。2018第一部分宏观经济运行情况2017年，全球经济同步复苏，中国经济稳中向好，各项经济指标持续改善，但国际国内经济金融形势依然复杂严峻。从国际看，发达国家经济金融政策的外溢效应、逆全球化和保护主义等潜在风险仍需关注。,403.0
6,从国内看，我国经济运行中的结构性矛盾仍较突出，防范金融风险的任务依然艰巨。下一步，要坚持稳中求进工作总基调，打好决胜全面建成小康社会的三大攻坚战，深化供给侧结构性改革，加强宏观审慎管理，激发各类市场主体活力，推动形成全面开放新格局，促进经济社会持续健康发展。一、国际宏观经济金融环境（一）主要经济体经济形势2017年以来，全球经济呈现同步复苏态势。美国经济复苏态势良好，欧元区经济形势继续改善，日本经济复苏势头转好，新兴市场经济体总体增长较快，但部分经济体仍面临调整与转型压力。美国复苏态势良好，已接近充分就业。,256.0
7,美国2017年第一季度国内生产总值（GDP）增长1.2%，第二、三季度反弹至3.1%、3.2%，连续创近两年最快增速，第四季度增长2.9%，全年增长2.3%。通胀方面，居民消费价格指数（CPI）、核心CPI均自2017年初2.0%的高位下降，仅CPI年末有所反弹，11月、12月CPI同比分别上涨2.2%和2.1%；同期核心CPI同比上涨1.7%、1.8%，连续9个月低于2%的目标。劳动力市场持续改善，2017年10月以来失业率降至4.1%，连续保持2001年以来最低水平，新增非农就业整体稳健但略有波动，劳动参与率低于历史平均水平。欧元区经济复苏逐渐加快。欧元区各经济体普遍增长较为强劲，内需和投资成为经济复苏的主要动力。,313.0
8,2017年四个季度欧元区GDP增长率分别为2.1%、2.4%、2.6%与2.7%，全年增速为2.5%，明显高于2016年1.7%的水平。通胀水平较为温和，综合物价指数（HICP）在2017年第一季度触及2.0%高位后持续低于1.5%，11月、12月通胀率分别为1.5%、1.4%。劳动力市场有所改善，失业率稳步下降，11月、12月均为8.7%，连创欧洲债务危机以来低位。日本经济复苏势头转好。2017年各季，日本GDP增长率分别为1.9%、2.4%、2.4%与1.6%，保持连续8个季度的正增长，全年增长1.7%。,257.0
9,但在经历十几年通缩后，企业涨薪动力不足，生产商涨价意愿不强，通胀水平依然疲软，2017年以来CPI未超过1.0%，远低于日本银行2%的通胀目标。新兴市场和发展中经济体总体增长较快，但部分经济体仍面临调整与转型压力。2017年，新兴市场和发展中经济体GDP增长4.6%，预计2018年增速进一步加快。其中，受税收改革等因素影响，印度经济增长放缓后回升，2017年各季度GDP同比增长分别为6.1%、5.6%、6.3%与7.0%。由于石油等大宗商品价格回升，俄罗斯和巴西经济逐步企稳，通胀得到控制，近期有所下行。,254.0
