,date,title,paragraph,length
0,2024-12,要闻中美金融工作组举行第七次会议,2024年12月15—16日，中美金融工作组在江苏省南京市举行第七次会议。会议由中国人民银行副行长宣昌能和美国财政部助理部长奈曼共同主持。国家金融监督管理总局、中国证监会，以及美联储、美国证券交易委员会等部门参会。,107.0
1,2024-12,要闻中美金融工作组举行第七次会议,中方就中央政治局会议和中央经济工作会议对明年经济工作的部署作了介绍。双方就中美经济金融形势与货币政策、金融稳定与监管、国际金融治理、证券与资本市场、反洗钱与反恐怖融资，以及其他双方关心的金融政策议题进行了专业、务实、坦诚和建设性的沟通。会议听取了技术专家组的汇报，包括国际收支数据编制和宏观经济建模中的气候因素等。双方还举行了与地方政府和监管机构座谈会。中方就有关问题向美方提出了关切。作为本次会议的成果，中国国家金融监督管理总局与美国联邦保险办公室签署了修订后的关于加强双方保险业交流合作的谅解备忘录。自成立以来，中美金融工作组在金融领域开展了专业务实的沟通交流。双方在金融领域的对话有助于负责任地管理中美关系，也有利于维护全球金融稳定。,320.0
2,2024-12,要闻何立峰在全国金融系统工作会议上强调：金融系统要深入学习贯彻中央经济工作会议精神 扎实做好明年金融工作,何立峰在全国金融系统工作会议上强调金融系统要深入学习贯彻中央经济工作会议精神扎实做好明年金融工作新华社北京12月13日电，全国金融系统工作会议12月13日在京召开。中央金融委员会办公室主任、中央金融工作委员会书记何立峰出席会议并讲话。他强调，金融系统要切实把思想认识统一到中央经济工作会议精神特别是习近平总书记重要讲话精神上来，按照李强总理工作部署，继续紧紧围绕防风险、强监管、促发展工作主线，以“钉钉子”精神抓好贯彻落实。要有力有序有效防范化解重点领域金融风险和外部冲击，促进资本市场等各领域平稳健康发展，牢牢守住不发生系统性风险的底线。要逐业逐行逐单位强化金融监管，进一步健全监管制度，强化监管执法和问责，加强监管协同，加快补齐金融法治短板，持续提升监管效能。要不断提高金融服务实体经济质效，全力支持构建新发展格局、推动高质量发展。实施好适度宽松的货币政策，为扩大内需、发展新质生产力和促进经济转型升级提供更加有力的支持。进一步发挥支持小微企业融资协调工作机制作用，引导信贷资金直达基层、快速便捷、利率适宜，有效缓解小微企业融资难贵慢问题。充分发挥城市房地产融资协调机制作用，推动“白名单”项目扩围增效，巩固房地产市场止跌回稳势头，坚决打好保交房攻坚战，加快构建与房地产发展新模式相匹配的金融服务体系。找准金融支持稳外贸的着力点，不断加大对外贸企业的支持力度。要在服务经济社会高质量发展过程中加快推进金融自身高质量发展，聚焦主责主业，更好服务经济大局，落实改革部署，扎实深化金融改革开放，结合巡视整改，全面加强金融系统党的建设。,666.0
3,2024-11,要闻中美金融工作组举行第六次会议,中美金融工作组于国际货币基金组织和世界银行2024年10月年会期间，在美国华盛顿召开第六次会议。会议由中国人民银行副行长宣昌能和美国财政部助理部长奈曼共同主持。国家金融监督管理总局、中国证监会、国家外汇管理局，以及美联储、美国证券交易委员会、联邦存款保险公司等部门参会。,135.0
4,2024-11,要闻中美金融工作组举行第六次会议,双方就两国宏观经济金融形势、货币金融政策、金融稳定与监管、资本市场、反洗钱和反恐怖融资以及其他双方关心的金融政策议题进行了专业、务实、坦诚和建设性的沟通。中方介绍了金融管理部门支持经济稳定增长的一揽子政策，包括中国人民银行支持资本市场稳定发展的两项工具，即证券、基金、保险公司互换便利（SFISF）和股票回购增持再贷款。中方并就相关问题向美方表达了关切。会议听取了双方技术专家组关于国际收支平衡表编制、全球系统重要性银行（G-SIBs）危机沟通以及气候和保险业风险等议题的汇报，并就双方如何加强跨境金融服务监管合作交换了意见。美国财政部部长耶伦会见了中美金融工作组中方代表团。,288.0
5,2024-09,要闻防范和打击非法金融活动部际联席会议：全面推进防非打非工作全链条治理,新华社北京9月3日电（记者张千千、李延霞）3日召开的防范和打击非法金融活动部际联席会议第一次全体（扩大）会议提出，要综合施策、标本兼治，全面推进防非打非工作全链条治理。根据会议发布的信息，中央金融工作会议以来，各地区、各部门防非打非各项工作有序推进，但当前非法金融活动形势依然严峻。,141.0
6,2024-09,要闻防范和打击非法金融活动部际联席会议：全面推进防非打非工作全链条治理,会议强调，要加快构建横向到边、纵向到底的工作新格局。充分发挥联席会议协调督导作用，增强工作的系统性、协同性。坚持“管合法更要管非法”，认真落实金融监管全覆盖要求。坚持“管行业必须管风险”，着力强化行业主管部门职能优势。切实加强地方党委政府的组织领导，抓紧完善省、市、县三级防非打非工作机制，统筹做好辖区内防非打非各项工作。会议要求，要前移风险防范关口，严把市场准入，及时阻断非法金融活动传播路径，加强宣传教育。要全面加强风险监测，建立健全监测预警体系，协同开展预警研判，强化金融机构前哨作用。要保持高压严打态势，及时开展认定处置，强化重点案件攻坚，深入推进打击非法集资专项行动。,289.0
7,2024-08,要闻中美金融工作组举行第五次会议,2024年8月15-16日，中美金融工作组在上海举行第五次会议。会议由中国人民银行副行长宣昌能和美国财政部助理部长奈曼共同主持。国家金融监督管理总局、中国证监会，以及美联储、美国证券交易委员会等部门参会。,102.0
8,2024-08,要闻中美金融工作组举行第五次会议,双方就中国共产党第二十届中央委员会第三次全体会议关于进一步全面深化改革的总体部署、中美经济金融形势与货币政策、金融稳定与监管、证券与资本市场、跨境支付和数据、国际金融治理、金融科技、可持续金融、反洗钱和反恐怖融资以及其他双方关心的金融政策议题进行了专业、务实、坦诚和建设性的沟通。会议听取了技术专家组的汇报，包括各自全球系统重要性银行（G-SIBs）处置机制、金融机构运营韧性、气候风险压力测试以及跨境交付金融服务监管等。双方还举行了中美金融工作组框架下首次金融机构圆桌会，与会中美金融机构聚焦可持续金融，分享了各自的经验与做法，并就潜在的合作机遇交流了看法。会议期间，中国人民银行与美财政部就在中美金融工作组框架下加强中美金融稳定合作签署了换文，互换了金融稳定联络人名单，旨在出现金融压力事件和金融机构运营风险时双方金融管理部门能够保持及时、畅通的联络渠道，减少不确定性。中国人民银行还就有关问题向美财政部提出了关切。双方同意继续保持沟通。,421.0
9,2024-04,要闻中美金融工作组举行第四次会议,2024年4月16日，中美金融工作组在美国华盛顿举行第四次会议。会议由中国人民银行副行长宣昌能和美国财政部助理财长奈曼共同主持。国家金融监督管理总局、中国证监会，以及美联储、美国证券交易委员会、美国商品期货交易委员会、联邦存款保险公司等部门参会。美国财政部部长耶伦会见了中美金融工作组中方代表团。,148.0
10,2024-04,要闻中美金融工作组举行第四次会议,双方就两国货币政策与金融稳定、金融监管合作、金融市场制度性安排、跨境支付和数据、可持续金融、反洗钱和反恐怖融资、金融基础设施以及其他双方关心的金融政策议题进行了专业、务实、坦诚和建设性的沟通。会议还听取了双方技术专家组关于两国金融监管框架的汇报。双方同意继续保持沟通。,134.0
11,2024-04,要闻中国人民银行召开2024年金融稳定工作会议,近日，中国人民银行召开2024年金融稳定工作会议。会议以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的二十大和中央经济工作会议、中央金融工作会议精神，落实中国人民银行工作会议有关要求，总结2023年金融稳定工作，分析当前金融形势，安排下一阶段工作。中国人民银行党委委员、副行长陆磊出席会议并讲话。会议认为，2023年中国人民银行金融稳定系统深入贯彻党中央、国务院决策部署，持续健全金融风险监测评估框架，坚持对风险早识别、早预警、早暴露、早处置，有效防范化解金融风险，强化金融稳定保障体系，推动深化金融体制改革，助力金融高质量发展和金融强国建设，各项工作取得积极成效。会议指出，我国金融体系总体稳健，金融风险总体收敛。2023年，银行、保险、证券业金融机构主要经营和监管指标均处于合理区间。随着中国宏观经济持续回升向好，中国金融体系的稳健运行有更加坚实的基础和支撑。,387.0
12,2024-04,要闻中国人民银行召开2024年金融稳定工作会议,会议强调，防范化解金融风险特别是防止发生系统性金融风险，是金融工作的根本性任务。金融稳定系统要持续深入贯彻中央经济工作会议和中央金融工作会议精神，做好2024年金融稳定工作。要继续按照“稳定大局、统筹协调、分类施策、精准拆弹”的方针，把握好权和责、快和稳、防和灭的关系，持续有效防控化解重点领域风险。要加强从宏观视角对金融稳定总体形势的分析，健全风险监测评估体系，完善系统性风险认定机制，强化风险提示和早期预警。要有力有序有效处置存量风险，进一步健全具有硬约束的风险早期纠正机制，遏制增量风险。要持续完善风险处置机制，强化金融稳定保障体系，构建防范化解金融风险长效机制，牢牢守住不发生系统性金融风险的底线。中国人民银行上海总部，有关司局，各省、自治区、直辖市及计划单列市分行，有关单位负责同志参加了会议。,352.0
13,2024-03,要闻何立峰在中央金融委员会办公室 中央金融工作委员会会议上强调：金融系统要认真学习贯彻全国两会精神 扎实做好全年金融工作,何立峰在中央金融委员会办公室，中央金融工作委员会会议上强调金融系统要认真学习贯彻全国两会精神扎实做好全年金融工作新华社北京3月13日电，3月13日，中央金融委员会办公室、中央金融工作委员会召开会议，学习贯彻全国两会精神，中央金融委员会办公室主任、中央金融工作委员会书记何立峰出席会议并讲话，强调金融系统要深刻学习领会、全面贯彻落实习近平总书记在全国两会上发表的系列重要讲话精神，认真落实政府工作报告部署，把学习成果有效转化为做好金融防风险强监管促高质量发展的工作成效。中央金融管理部门和中管金融企业有关负责同志等参加会议。,261.0
14,2024-01,要闻国家金融监督管理总局召开2024年工作会议,1月30日，金融监管总局召开2024年工作会议，深入学习贯彻中央金融工作会议、中央经济工作会议和省部级主要领导干部专题研讨班精神，总结2023年工作，部署2024年重点任务。金融监管总局党委书记、局长李云泽出席会议并讲话。党委委员、副局长周亮主持会议，中央纪委国家监委驻金融监管总局纪检监察组组长、党委委员王陆进，党委委员、副局长肖远企、丛林、付万军出席会议。,180.0
15,2024-01,要闻国家金融监督管理总局召开2024年工作会议,会议指出，金融监管总局成立以来，坚持以习近平新时代中国特色社会主义思想为指导，坚决贯彻党中央、国务院决策部署，自觉服从中央金融委统筹指挥，沉着应对各类风险挑战，各项工作取得积极进展。一是深入学习贯彻习近平总书记重要讲话和重要指示批示精神，严格执行“第一议题”制度。认真落实中央金融工作会议各项部署，举办系统专题研讨班，出台25项配套制度文件。二是稳妥周密做好机构改革相关工作，科学制定总局“三定”规定，顺利完成总局和省市派出机构挂牌，机关内设司局调整和干部调配平稳落地。三是持续有效防范化解重点领域风险，中小金融机构改革化险步伐加快，农信社改革有序推进。一批高风险机构得到稳妥处置，打击非法金融活动取得新的成效。四是持续提升服务实体经济质效，制造业中长期贷款、高技术产业贷款、普惠型小微企业贷款快速增长，京津冀等地洪涝灾害和重大事故保险赔付实现快赔预赔、应赔尽赔。五是不断提高监管能力和水平，全年出台6部规章、18项规范性文件，加快完善监管大数据平台，落实金融消费者权益保护统筹职责。六是深入推进系统党的建设，高质量开展主题教育，扎实做好常态化长效化巡视整改，持之以恒正风肃纪反腐。,491.0
16,2024-01,要闻国家金融监督管理总局召开2024年工作会议,会议强调，2024年是中华人民共和国成立75周年，是实现“十四五”规划目标任务的关键一年，也是金融监管总局全面履职的第一个完整年度。全系统要以习近平新时代中国特色社会主义思想为指导，认真贯彻落实党的二十大和二十届二中全会精神，按照中央金融工作会议和中央经济工作会议部署，坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，锚定金融强国建设目标，坚决做到监管“长牙带刺”、有棱有角，牢牢守住不发生系统性金融风险底线，扎实推进金融高质量发展，坚定不移走中国特色金融发展之路。,237.0
17,2024-01,要闻国家金融监督管理总局召开2024年工作会议,会议要求，要紧紧围绕金融监管总局系统年度重点任务目标，以责任定目标、以目标抓考核、以考核促落实。一是全力推进中小金融机构改革化险，把握好时度效，有计划、分步骤开展工作。健全金融风险处置常态化机制，落实机构、股东、高管、监管、属地、行业六方责任，推动形成工作合力。二是积极稳妥防控重点领域风险，强化信用风险管理，加大不良资产处置力度。加快推进城市房地产融资协调机制落地见效，督促金融机构大力支持保障性住房等“三大工程”建设、落实经营性物业贷款管理要求。配合防范化解地方债务风险，指导金融机构按照市场化方式开展债务重组、置换。三是坚决落实强监管严监管要求，全面强化“五大监管”，严把准入关口、严密风险监测、严肃早期干预纠正。紧盯“关键事”“关键人”“关键行为”，严格执法、敢于亮剑，做到一贯到底、一严到底、一查到底。四是跨前一步强化央地监管协同，加强信息交流共享和重点任务协同，切实做到同责共担、同题共答、同向发力。五是着力防范打击非法金融活动，强化抓早抓小，保持高压震慑，加快健全横向到边、纵向到底的责任体系。六是坚定不移深化金融改革开放，引导金融机构聚焦主业、苦练内功、降本增效，切实提升行业发展可持续性。稳定扩大制度型开放，助力上海、香港国际金融中心建设。大力弘扬中国特色金融文化，推动实现“机构不做假、股东守规矩、高管知敬畏、员工有操守、公众识风险”。七是精准高效服务经济社会发展，统筹做好“五篇大文章”，更好服务新质生产力发展和现代化产业体系建设，着力支持扩大有效需求，持续增强普惠金融服务能力，切实提升金融消保工作质效。八是平稳有序完成机构改革任务，加快推动省市“三定”落地，稳步推进县域机构改革，同步建机制、强保障、提效能。,717.0
18,2024-01,要闻国家金融监督管理总局召开2024年工作会议,会议强调，要旗帜鲜明加强政治建设，把坚持和加强党的领导作为管党治党的根本职责。要常态长效抓好中央巡视整改，举一反三解决共性问题。要坚持不懈正风肃纪反腐，持续深化中央八项规定精神落实，大力开展监管作风专项整治。要树立鲜明用人导向，坚持“三个过硬”标准，统筹推进干部队伍建设。要深入实施“四新”工程，促进形成奋发有为、实干兴局、争先创优、勇立新功的良好氛围。中央组织部、中央财办、中央编办、中央金融办，最高人民法院、最高人民检察院，国务院办公厅、公安部、司法部、财政部、审计署、国务院研究室等单位有关同志应邀出席会议。首席会计师，驻总局纪检监察组负责同志，各监管局主要负责同志，机关各司局、各直属单位、金融工会负责同志，各总局管理单位主要负责同志参加会议。,326.0
19,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,国务院新闻办公室于2024年1月24日（星期三）下午3时举行新闻发布会，请中国人民银行行长潘功胜，中国人民银行副行长、国家外汇管理局局长朱鹤新，中国人民银行副行长宣昌能介绍贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况，并答记者问。,123.0
20,2024-01,要闻国务院新闻办就贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况举行发布会,图为新闻发布会现场。（刘健摄）国务院新闻办新闻局副局长、新闻发言人寿小丽：女士们、先生们，大家下午好！欢迎出席国务院新闻办新闻发布会。今天我们邀请到中国人民银行行长潘功胜先生，中国人民银行副行长、国家外汇管理局局长朱鹤新先生，中国人民银行副行长宣昌能先生，请他们为大家介绍贯彻落实中央经济工作会议部署、金融服务实体经济高质量发展情况，并回答大家关心的问题。下面，首先请潘功胜先生作介绍。中国人民银行行长潘功胜：谢谢。各位记者朋友，大家下午好！今天我非常高兴和朱鹤新局长、宣昌能副行长一起，有这样一个与大家沟通的机会。,258.0
